,sname,dname,cname,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12
1826,Palmdale High,Antelope Valley Union High,Los Angeles,621,108,50.0,46.3,17.0,15.74,17.0,15.74
1830,Whitney High,Rocklin Unified,Placer,458,176,159.0,90.34,135.0,76.7,133.0,75.57
1832,Woodside High,Sequoia Union High,San Mateo,441,151,122.0,80.79,90.0,59.6,88.0,58.28
1833,El Camino High,South San Francisco Unified,San Mateo,315,150,125.0,83.33,104.0,69.33,100.0,66.67
1834,Thousand Oaks High,Conejo Valley Unified,Ventura,528,169,160.0,94.67,128.0,75.74,127.0,75.15
1836,Sunny Hills High,Fullerton Joint Union High,Orange,563,247,223.0,90.28,186.0,75.3,183.0,74.09
1837,Los Amigos High,Garden Grove Unified,Orange,416,179,106.0,59.22,57.0,31.84,54.0,30.17
1838,Rancho Alamitos High,Garden Grove Unified,Orange,424,173,126.0,72.83,82.0,47.4,77.0,44.51
1841,Delta High,River Delta Joint Unified,Sacramento,50,20,10.0,50.0,3.0,15.0,3.0,15.0
1844,Kearny College Connections,San Diego Unified,San Diego,100,38,26.0,68.42,16.0,42.11,12.0,31.58
1847,Acalanes High,Acalanes Union High,Contra Costa,353,122,119.0,97.54,109.0,89.34,109.0,89.34
1848,Dozier-Libbey Medical High,Antioch Unified,Contra Costa,143,56,41.0,73.21,25.0,44.64,25.0,44.64
1852,Etiwanda High,Chaffey Joint Union High,San Bernardino,851,399,323.0,80.95,216.0,54.14,205.0,51.38
1855,Temple City High,Temple City Unified,Los Angeles,492,235,219.0,93.19,195.0,82.98,186.0,79.15
1856,Edison High,Huntington Beach Union High,Orange,669,179,162.0,90.5,138.0,77.09,134.0,74.86
1857,Shadow Hills High,Desert Sands Unified,Riverside,528,185,127.0,68.65,45.0,24.32,42.0,22.7
1858,Shafter High,Kern High,Kern,372,85,44.0,51.76,28.0,32.94,26.0,30.59
1859,El Monte High,El Monte Union High,Los Angeles,397,122,66.0,54.1,53.0,43.44,42.0,34.43
1861,Pioneer High,Whittier Union High,Los Angeles,315,121,69.0,57.02,50.0,41.32,46.0,38.02
1862,Carmel High,Carmel Unified,Monterey,207,59,55.0,93.22,46.0,77.97,46.0,77.97
1866,Soledad High,Soledad Unified,Monterey,374,141,60.0,42.55,26.0,18.44,24.0,17.02
1867,San Benito High,San Benito High,San Benito,744,205,154.0,75.12,103.0,50.24,97.0,47.32
1868,Academy for Academic Excellence,Apple Valley Unified,San Bernardino,97,53,48.0,90.57,30.0,56.6,29.0,54.72
1870,Bonita Vista Senior High,Sweetwater Union High,San Diego,659,256,234.0,91.41,189.0,73.83,180.0,70.31
1871,Eastlake High,Sweetwater Union High,San Diego,802,428,377.0,88.08,305.0,71.26,294.0,68.69
1872,California High,San Ramon Valley Unified,Contra Costa,648,261,249.0,95.4,220.0,84.29,216.0,82.76
1873,Sierra Vista High,Baldwin Park Unified,Los Angeles,429,148,93.0,62.84,62.0,41.89,51.0,34.46
1875,John Muir High,Pasadena Unified,Los Angeles,236,117,59.0,50.43,22.0,18.8,20.0,17.09
1876,Mariposa County High,Mariposa County Unified,Mariposa,134,36,33.0,91.67,27.0,75.0,26.0,72.22
1880,San Diego Science and Technology,San Diego Unified,San Diego,157,58,35.0,60.34,19.0,32.76,18.0,31.03
1884,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89,18,10.0,55.56,5.0,27.78,5.0,27.78
1889,Buena Park High,Fullerton Joint Union High,Orange,479,195,126.0,64.62,74.0,37.95,69.0,35.38
1890,La Habra High,Fullerton Joint Union High,Orange,539,172,133.0,77.33,95.0,55.23,87.0,50.58
1895,Duarte High,Duarte Unified,Los Angeles,199,73,45.0,61.64,17.0,23.29,15.0,20.55
1896,Valley Academy of Arts and Sciences,Los Angeles Unified,Los Angeles,262,107,57.0,53.27,28.0,26.17,25.0,23.36
1898,Casa Roble Fundamental High,San Juan Unified,Sacramento,255,56,45.0,80.36,29.0,51.79,28.0,50.0
1899,Preuss School UCSD,San Diego Unified,San Diego,103,82,73.0,89.02,55.0,67.07,50.0,60.98
1900,Clairemont High,San Diego Unified,San Diego,207,60,42.0,70.0,21.0,35.0,20.0,33.33
1901,Mission Bay High,San Diego Unified,San Diego,226,100,71.0,71.0,42.0,42.0,40.0,40.0
1902,Roosevelt High,Fresno Unified,Fresno,447,67,21.0,31.34,4.0,5.97,4.0,5.97
1903,King City High,South Monterey County Joint Union High,Monterey,221,70,40.0,57.14,20.0,28.57,18.0,25.71
1904,Nova Academy Early College High,Santa Ana Unified,Orange,98,45,24.0,53.33,8.0,17.78,6.0,13.33
1906,Grant Union High,Twin Rivers Unified,Sacramento,394,328,103.0,31.4,46.0,14.02,42.0,12.8
1907,San Dieguito HS Academy,San Dieguito Union High,San Diego,478,190,175.0,92.11,143.0,75.26,140.0,73.68
1909,Atascadero High,Atascadero Unified,San Luis Obispo,278,44,39.0,88.64,29.0,65.91,29.0,65.91
1913,Samueli Academy,Orange County Department of Education,Orange,119,66,42.0,63.64,31.0,46.97,28.0,42.42
1918,Willow Glen High,San Jose Unified,Santa Clara,407,112,94.0,83.93,71.0,63.39,70.0,62.5
1921,Animo Leadership High,Lennox,Los Angeles,153,89,50.0,56.18,17.0,19.1,15.0,16.85
1922,"Ernest S. McBride, Sr. High",Long Beach Unified,Los Angeles,165,146,127.0,86.99,88.0,60.27,86.0,58.9
1923,George Washington Preparatory High,Los Angeles Unified,Los Angeles,197,60,15.0,25.0,4.0,6.67,2.0,3.33
1924,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,403,274,198.0,72.26,124.0,45.26,115.0,41.97
1925,San Gabriel High,Alhambra Unified,Los Angeles,527,273,204.0,74.73,181.0,66.3,165.0,60.44
1926,Coronado High,Coronado Unified,San Diego,291,151,143.0,94.7,115.0,76.16,113.0,74.83
1928,Palmdale Aerospace Academy,Palmdale Elementary,Los Angeles,167,104,81.0,77.88,33.0,31.73,32.0,30.77
1929,Minarets Charter High,Chawanakee Unified,Madera,71,20,12.0,60.0,4.0,20.0,4.0,20.0
1930,Granite Bay High,Roseville Joint Union High,Placer,513,247,230.0,93.12,209.0,84.62,206.0,83.4
1931,Oakmont High,Roseville Joint Union High,Placer,482,157,141.0,89.81,123.0,78.34,120.0,76.43
1932,Tahoe Truckee High,Tahoe-Truckee Unified,Placer,173,66,51.0,77.27,40.0,60.61,37.0,56.06
1933,Florin High,Elk Grove Unified,Sacramento,322,124,62.0,50.0,39.0,31.45,29.0,23.39
1935,Delano High,Delano Joint Union High,Kern,339,79,43.0,54.43,26.0,32.91,22.0,27.85
1936,STEM Academy at Bernstein High,Los Angeles Unified,Los Angeles,124,69,39.0,56.52,17.0,24.64,13.0,18.84
1937,Academy for Multilingual Arts and Science at Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,141,31,6.0,19.35,2.0,6.45,2.0,6.45
1938,Del Mar High,Campbell Union High,Santa Clara,290,87,59.0,67.82,32.0,36.78,30.0,34.48
1940,Magnolia High,Anaheim Union High,Orange,419,124,74.0,59.68,48.0,38.71,43.0,34.68
1942,Lincoln High,Western Placer Unified,Placer,414,127,104.0,81.89,69.0,54.33,66.0,51.97
1943,Western Sierra Collegiate Academy,Rocklin Unified,Placer,119,45,41.0,91.11,31.0,68.89,30.0,66.67
1945,Carlmont High,Sequoia Union High,San Mateo,522,234,217.0,92.74,199.0,85.04,191.0,81.62
1948,Gompers Preparatory Academy,San Diego Unified,San Diego,125,65,35.0,53.85,10.0,15.38,10.0,15.38
1950,University Preparatory Academy Charter,Santa Clara County Office of Education,Santa Clara,99,51,48.0,94.12,38.0,74.51,37.0,72.55
1954,B. Roberto Cruz Leadership Academy,East Side Union High,Santa Clara,59,20,4.0,20.0,1.0,5.0,1.0,5.0
1964,Sonora High,Sonora Union High,Tuolumne,218,40,37.0,92.5,31.0,77.5,31.0,77.5
1966,Mar Vista Senior High,Sweetwater Union High,San Diego,417,106,74.0,69.81,35.0,33.02,34.0,32.08
1967,Vista High,Vista Unified,San Diego,545,159,98.0,61.64,65.0,40.88,55.0,34.59
1973,Enterprise High,Shasta Union High,Shasta,302,54,46.0,85.19,35.0,64.81,33.0,61.11
1976,Willits High,Willits Unified,Mendocino,76,18,13.0,72.22,7.0,38.89,6.0,33.33
1979,Eleanor Roosevelt High,Corona-Norco Unified,Riverside,1083,543,426.0,78.45,318.0,58.56,293.0,53.96
1980,Hughson High,Hughson Unified,Stanislaus,150,40,29.0,72.5,24.0,60.0,23.0,57.5
