,sname,dname,cname,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12
1580,Sutter High,Sutter Union High,Sutter,171,49,44.0,89.8,32.0,65.31,32.0,65.31
1581,River Valley High,Yuba City Unified,Sutter,435,125,101.0,80.8,75.0,60.0,75.0,60.0
1582,Oakland Charter High,Oakland Unified,Alameda,110,67,55.0,82.09,42.0,62.69,40.0,59.7
1583,Palomares Academy of Health Science,Pomona Unified,Los Angeles,53,37,13.0,35.14,4.0,10.81,4.0,10.81
1586,Waterford High,Waterford Unified,Stanislaus,163,45,25.0,55.56,10.0,22.22,8.0,17.78
1587,River City High,Washington Unified,Yolo,476,181,109.0,60.22,71.0,39.23,66.0,36.46
1588,Oakland International High,Oakland Unified,Alameda,105,24,2.0,8.33,7.0,29.17,1.0,4.17
1590,Calexico High,Calexico Unified,Imperial,761,194,137.0,70.62,104.0,53.61,91.0,46.91
1591,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,148,116,33.0,28.45,31.0,26.72,22.0,18.97
1592,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130,126,54.0,42.86,23.0,18.25,22.0,17.46
1593,Arleta High,Los Angeles Unified,Los Angeles,311,147,46.0,31.29,27.0,18.37,21.0,14.29
1594,West Adams Preparatory High,Los Angeles Unified,Los Angeles,252,173,64.0,36.99,26.0,15.03,21.0,12.14
1596,James Logan High,New Haven Unified,Alameda,885,336,269.0,80.06,211.0,62.8,201.0,59.82
1597,MetWest High,Oakland Unified,Alameda,37,18,5.0,27.78,3.0,16.67,3.0,16.67
1598,Imperial High,Imperial Unified,Imperial,279,78,66.0,84.62,34.0,43.59,34.0,43.59
1599,San Dimas High,Bonita Unified,Los Angeles,324,134,108.0,80.6,68.0,50.75,64.0,47.76
1601,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105,85,20.0,23.53,6.0,7.06,5.0,5.88
1602,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128,111,62.0,55.86,37.0,33.33,31.0,27.93
1603,Centennial High,Corona-Norco Unified,Riverside,786,339,266.0,78.47,192.0,56.64,182.0,53.69
1604,Folsom High,Folsom-Cordova Unified,Sacramento,552,209,194.0,92.82,167.0,79.9,164.0,78.47
1606,South Gate Senior High,Los Angeles Unified,Los Angeles,528,250,135.0,54.0,65.0,26.0,60.0,24.0
1607,Woodrow Wilson Senior High,Los Angeles Unified,Los Angeles,317,174,89.0,51.15,22.0,12.64,21.0,12.07
1608,Lynwood High,Lynwood Unified,Los Angeles,473,179,97.0,54.19,38.0,21.23,35.0,19.55
1614,Magnolia Science Academy,Los Angeles County Office of Education,Los Angeles,69,36,27.0,75.0,13.0,36.11,12.0,33.33
1615,Gahr (Richard) High,ABC Unified,Los Angeles,418,207,154.0,74.4,111.0,53.62,105.0,50.72
1618,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141,138,71.0,51.45,29.0,21.01,29.0,21.01
1621,"Asawa (Ruth) SF Sch of the Arts, A Public School",San Francisco Unified,San Francisco,175,86,81.0,94.19,64.0,74.42,64.0,74.42
1622,Alameda High,Alameda Unified,Alameda,463,190,160.0,84.21,145.0,76.32,132.0,69.47
1623,Bakersfield High,Kern High,Kern,693,162,100.0,61.73,82.0,50.62,72.0,44.44
1624,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126,48,23.0,47.92,12.0,25.0,11.0,22.92
